az	nev	hossz	szelesseg	merules	mszam	mteljesitmeny	utas	epult	orszag	regvar	regor	allapotaz
1	ALINA	135	11.45	1.6	1	2130	220	2011	NL	7	CH	1
2	ALLEGRA I	135	11.4	1.9	2	1015	180	2010	D	17	M	3
3	ALLEGRO	105	10.1	1.4	3	525	150	1991	B	40	NL	2
4	AMABELLA	135	11.4	1.6	2	1300	162	2010	NL	7	CH	3
5	AMACELLO	110	11.4	1.6	2	1100	150	2008	NL	7	CH	3
6	AMACERTO	135	11.45	1.5	2	1100	164	2012	NL	7	CH	3
7	AMADAGIO	110	11.4	1.6	2	1100	150	2006	NL	32	D	7
8	AMADANTE	110	11.4	1.6	2	1100	150	2008	NL	7	CH	3
9	AMADEUS	110	11.4	1.2	2	1075	146	1997	NL	3	D	1
10	AMADEUS BRILLIANT	110	11.4	1.3	2	1000	148	2011	NL	3	D	3
11	AMADEUS CLASSIC	110	11.4	1.3	2	1050	150	2001	NL	3	D	3
12	AMADEUS DIAMOND	110	11.4	1.3	2	1000	148	2008	NL	3	D	6
13	AMADEUS ELEGANT	110	11.4	1.3	2	1000	148	2010	NL	3	D	3
14	AMADEUS PRINCESS	110	11.4	1.35			162	2006	NL	3	D	3
15	AMADEUS RHAPSODY	110	11.4	1.4	2	1075	144	1998	NL	3	D	1
16	AMADEUS ROYAL	110	11.4	1.3	2	1065	150	2005	NL	3	D	3
17	AMADEUS SILVER	135	11.4	1.3	2	1014	180	2013	NL	3	D	3
18	AMADEUS SYMPHONY	110	11.4	1.3	2	1065	150	2003	NL	3	D	7
19	AMADOLCE	110	11.4	1.6	2	1100	148	2009	NL	7	CH	3
20	AMALEGRO	110	11.4	1.6	2	1100	150	2007	NL	32	D	3
21	AMALYRA	110	11.4	1.6	2	1100	150	2009	NL	7	CH	3
22	AMAPRIMA	135	11.45	1.5	2	1300	164	2013	NL	7	CH	3
23	AMAREINA	135	11.45	1.6	2	1217	164	2014	NL	7	CH	3
24	AMASONATA	135	11.45	1.5	2	1300	164	2014	NL	7	CH	3
25	AMAVENITA	135	11.45	1.5	2	1300	164	2015	NL	7	CH	3
26	AMAVERDE	135	11.4	1.6	2	1300	162	2011	NL	7	CH	3
27	AMELIA	135	11.45	1.6	1	2130	220	2012	NL	7	CH	2
28	AMUR	85.8	14	1.55	2	600	212	1960	A	4	UA	13
29	ANDANTE	74.4	10.2	1.48	2	800	96	1959	NL	13	NL	2
30	ANTONIO BELLUCCI	110	11.45	1.6	2	1014	140	2013	NL	7	CH	3
31	ARIANA	110	11.4	1.6	2	1100	158	2012	NL	21	BG	1
32	ARLENE	91.2	10.5	1.5	2	1032	104	1986	NL	22	NL	3
33	A'ROSA BELLA	124.5	14.5	1.48	2	1088	242	2002	D	1	D	1
34	A'ROSA DONNA	124.5	14.4	1.48	2	1088	242	2002	D	1	D	1
35	A'ROSA MIA	124.5	14.5	1.48	2	1088	242	2003	D	1	D	1
36	A'ROSA RIVA	124.5	14.5	1.48	2	1088	242	2004	D	1	D	1
37	A'ROSA SILVA	135	11.4	1.6	4	450	186	2012	D	1	D	3
38	AURELIA	110	11.4	1.55	2	1200	158	2007	NL	7	CH	3
39	AVALON AFFINITY	110	11.45	1.6	2	900	138	2009	NL	32	D	3
40	MS AVALON EXPRESSION	135	11.45	1.7	2	1050	168	2013	NL	32	D	3
41	AVALON ILLUMINATION	135	11.45	1.8	2	1000	166	2014	NL	7	CH	3
42	AVALON IMPRESSION	135	11.45	1.9	2	1000	166	2014	NL	7	CH	3
43	AVALON LUMINARY	110	11.45	1.6	2	1100	140	2010	NL	32	D	3
44	AVALON PANORAMA	135	11.45	2	2	1050	168	2011	NL	7	CH	3
45	AVALON POETRY II	110	11.45	1.95	2	1100	140	2014	NL	7	CH	3
46	AVALON VISIONARY	110	11.45	1.96	2	1000	130	2011	NL	32	D	3
47	AVALON VISTA	135	11.45	2	2	1050	168	2012	NL	7	CH	3
48	BEETHOVEN	110	11.4	1.6	4	500	176	2004	B	8	F	3
49	BELLEFLEUR	114.3	11.4	1.6	2	1100	150	2001	NL	11	D	7
50	BELLEJOUR	127.6	11.4	2.1	2	1080	180	2004	D	17	M	3
